Sl. No,Pin Code
1,500001
2,500002
3,500003
4,500004
5,500005
6,500006
7,500007
8,500008
9,500009
10,500010
11,500011
12,500012
13,500013
14,500014
15,500015
16,500016
17,500017
18,500018
19,500019
20,500020
21,500021
22,500022
23,500023
24,500024
25,500025
26,500026
27,500027
28,500028
29,500029
30,500030
31,500031
32,500032
33,500033
34,500034
35,500035
36,500036
37,500037
38,500038
39,500039
40,500040
41,500041
42,500042
43,500043
44,500044
45,500045
46,500046
47,500047
48,500048
49,500049
50,500050
51,500051
52,500052
53,500053
54,500054
55,500055
56,500056
57,500057
58,500058
59,500059
60,500060
61,500061
62,500062
63,500063
64,500064
65,500065
66,500066
67,500067
68,500068
69,500069
70,500070
71,500071
72,500072
73,500073
74,500074
75,500075
76,500076
77,500077
78,500078
79,500079
80,500080
81,500081
82,500082
83,500083
84,500084
85,500085
86,500086
87,500087
88,500088
89,500089
90,500090
91,500091
92,500092
93,500093
94,500094
95,500095
96,500096
97,500097
98,500098
99,500100
100,500101
101,500102
102,500103
103,500104
104,500105
105,500107
106,500108
107,500110
108,500111
109,500112
110,500114
111,500195
112,500264
113,500296
114,500409
115,500457
116,500652
117,501101
118,501102
119,501106
120,501111
121,501121
122,501141
123,501142
124,501143
125,501144
126,501158
127,501201
128,501202
129,501203
130,501218
131,501301
132,501323
133,501359
134,501401
135,501403
136,501501
137,501502
138,501503
139,501504
140,501505
141,501506
142,501508
143,501509
144,501510
145,501511
146,501512
147,502001
148,502032
149,502101
150,502102
151,502103
152,502107
153,502108
154,502109
155,502110
156,502113
157,502114
158,502115
159,502117
160,502125
161,502130
162,502201
163,502205
164,502210
165,502220
166,502221
167,502228
168,502246
169,502247
170,502248
171,502249
172,502251
173,502255
174,502256
175,502257
176,502267
177,502269
178,502270
179,502271
180,502273
181,502276
182,502277
183,502278
184,502279
185,502280
186,502281
187,502285
188,502286
189,502287
190,502290
191,502291
192,502293
193,502294
194,502295
195,502296
196,502300
197,502301
198,502302
199,502303
200,502304
201,502305
202,502306
203,502307
204,502310
205,502311
206,502312
207,502313
208,502314
209,502316
210,502317
211,502318
212,502319
213,502320
214,502321
215,502324
216,502325
217,502329
218,502331
219,502334
220,502335
221,502336
222,502345
223,502371
224,502372
225,502375
226,502381
227,503001
228,503002
229,503003
230,503101
231,503102
232,503108
233,503110
234,503111
235,503112
236,503114
237,503120
238,503122
239,503123
240,503124
241,503125
242,503144
243,503145
244,503164
245,503165
246,503174
247,503175
248,503180
249,503185
250,503186
251,503187
252,503188
253,503201
254,503202
255,503206
256,503207
257,503212
258,503213
259,503217
260,503218
261,503219
262,503223
263,503224
264,503225
265,503230
266,503235
267,503245
268,503246
269,503301
270,503302
271,503305
272,503306
273,503307
274,503308
275,503309
276,503310
277,503311
278,503321
279,503322
280,504001
281,504002
282,504003
283,504101
284,504102
285,504103
286,504104
287,504105
288,504106
289,504107
290,504109
291,504110
292,504201
293,504202
294,504203
295,504204
296,504205
297,504206
298,504207
299,504208
300,504209
301,504214
302,504215
303,504216
304,504218
305,504219
306,504220
307,504231
308,504251
309,504272
310,504273
311,504292
312,504293
313,504294
314,504295
315,504296
316,504297
317,504299
318,504301
319,504302
320,504303
321,504304
322,504306
323,504307
324,504308
325,504309
326,504310
327,504311
328,504312
329,504313
330,504323
331,504346
332,505001
333,505002
334,505101
335,505102
336,505122
337,505129
338,505152
339,505153
340,505162
341,505172
342,505174
343,505184
344,505185
345,505186
346,505187
347,505188
348,505208
349,505209
350,505210
351,505211
352,505212
353,505214
354,505215
355,505301
356,505302
357,505303
358,505304
359,505305
360,505306
361,505307
362,505325
363,505326
364,505327
365,505330
366,505331
367,505401
368,505402
369,505403
370,505404
371,505405
372,505415
373,505416
374,505425
375,505445
376,505450
377,505451
378,505452
379,505453
380,505454
381,505455
382,505460
383,505462
384,505466
385,505467
386,505468
387,505469
388,505470
389,505471
390,505472
391,505473
392,505474
393,505475
394,505476
395,505480
396,505481
397,505490
398,505497
399,505498
400,505501
401,505502
402,505503
403,505504
404,505505
405,505511
406,505514
407,505524
408,505525
409,505526
410,505527
411,505528
412,505529
413,505530
414,505531
415,505532
416,506001
417,506002
418,506003
419,506004
420,506005
421,506006
422,506007
423,506008
424,506009
425,506011
426,506013
427,506015
428,506101
429,506102
430,506103
431,506104
432,506105
433,506112
434,506122
435,506132
436,506134
437,506135
438,506142
439,506143
440,506144
441,506145
442,506146
443,506151
444,506163
445,506164
446,506165
447,506166
448,506167
449,506168
450,506169
451,506170
452,506172
453,506175
454,506201
455,506221
456,506222
457,506223
458,506224
459,506244
460,506252
461,506301
462,506302
463,506303
464,506310
465,506313
466,506314
467,506315
468,506316
469,506317
470,506318
471,506319
472,506324
473,506329
474,506330
475,506331
476,506332
477,506333
478,506342
479,506343
480,506344
481,506345
482,506347
483,506348
484,506349
485,506352
486,506353
487,506355
488,506356
489,506365
490,506366
491,506367
492,506368
493,506369
494,506370
495,506371
496,506381
497,506391
498,507001
499,507002
500,507003
501,507101
502,507103
503,507111
504,507113
505,507114
506,507115
507,507116
508,507117
509,507118
510,507119
511,507120
512,507121
513,507122
514,507123
515,507124
516,507125
517,507126
518,507128
519,507129
520,507133
521,507134
522,507135
523,507136
524,507137
525,507138
526,507140
527,507154
528,507157
529,507158
530,507159
531,507160
532,507161
533,507163
534,507164
535,507165
536,507166
537,507167
538,507168
539,507169
540,507170
541,507182
542,507183
543,507201
544,507202
545,507203
546,507204
547,507208
548,507209
549,507210
550,507211
551,507301
552,507302
553,507303
554,507304
555,507305
556,507306
557,507316
558,507318
559,508001
560,508002
561,508004
562,508101
563,508105
564,508111
565,508112
566,508113
567,508114
568,508115
569,508116
570,508117
571,508126
572,508201
573,508202
574,508203
575,508204
576,508205
577,508206
578,508207
579,508208
580,508210
581,508211
582,508212
583,508213
584,508214
585,508217
586,508218
587,508221
588,508222
589,508223
590,508224
591,508233
592,508234
593,508238
594,508243
595,508244
596,508245
597,508246
598,508247
599,508248
600,508250
601,508252
602,508253
603,508254
604,508255
605,508256
606,508257
607,508258
608,508266
609,508277
610,508278
611,508279
612,508280
613,508284
614,508285
615,508286
616,508335
617,508355
618,508373
619,508374
620,508376
621,508377
622,509001
623,509002
624,509102
625,509103
626,509104
627,509105
628,509106
629,509110
630,509120
631,509125
632,509126
633,509127
634,509128
635,509129
636,509130
637,509131
638,509132
639,509133
640,509135
641,509136
642,509144
643,509152
644,509153
645,509201
646,509202
647,509203
648,509204
649,509205
650,509206
651,509207
652,509208
653,509209
654,509210
655,509215
656,509216
657,509217
658,509219
659,509223
660,509228
661,509235
662,509242
663,509301
664,509302
665,509311
666,509320
667,509321
668,509324
669,509325
670,509326
671,509327
672,509334
673,509335
674,509336
675,509337
676,509338
677,509339
678,509340
679,509349
680,509350
681,509351
682,509352
683,509353
684,509357
685,509358
686,509360
687,509371
688,509375
689,509376
690,509380
691,509381
692,509382
693,509385
694,509401
695,509406
696,509407
697,509408
698,509409
699,509410
700,509411
701,509412
702,518503
703,533347
704,533348
705,533351
706,533352
